code_departement,code_canton,libelle_canton,nom,prenom,genre,date_naissance,code_CSP,fonction,age
9,907,Pamiers-1,CID,Jean-Christophe,M,1975-11-07,47,,50
9,907,Pamiers-1,VILAPLANA,Marie-France,F,1950-09-28,77,3ème Vice-président du conseil départemental,75
9,908,Pamiers-2,BLASQUEZ,Jérome,M,1981-04-03,42,,45
9,908,Pamiers-2,BORDES,Monique,F,1951-10-21,74,,74
9,909,Pays D'Olmes,MIQUEL,Jessica,F,1985-12-20,43,,40
9,909,Pays D'Olmes,SANCHEZ,Marc,M,1955-07-14,72,,71
9,910,Portes D'Ariège,PONS,Géraldine,F,1970-12-05,37,,55
9,910,Portes D'Ariège,SOLER,Jean-Michel,M,1970-03-16,37,,56
9,911,Portes Du Couserans,AURIAC,Nathalie,F,1956-06-18,74,,70
9,911,Portes Du Couserans,PICHAN,Michel,M,1952-03-22,74,,74
9,912,Sabarthès,EYCHENNE,Joëlle,F,1968-05-19,85,,58
9,912,Sabarthès,PUJOL,Philippe,M,1962-03-03,52,,64
9,913,Val D'Ariège,ESTEBAN,Martine,F,1955-10-16,74,,70
9,913,Val D'Ariège,FERRE,Jean-Paul,M,1952-07-12,72,1er Vice-président du conseil départemental,74
10,1001,Aix-Villemaur-Pâlis,DELELIGNE,Nelly,F,1967-04-14,47,,59
10,1001,Aix-Villemaur-Pâlis,LEPRINCE,Didier,M,1958-03-29,74,,68
10,1002,Arcis-Sur-Aube,BERNIER,Guy,M,1955-09-17,13,,70
10,1002,Arcis-Sur-Aube,SOUCAT,Annie,F,1961-07-08,77,,65
10,1003,Bar-Sur-Aube,DALLEMAGNE,Philippe,M,1962-09-05,77,Président du conseil départemental,63
10,1003,Bar-Sur-Aube,RIGOLLOT,Marie-Noëlle,F,1956-12-25,77,1er Vice-président du conseil départemental,69
10,1004,Bar-Sur-Seine,DE LA HAMAYDE,Bernard,M,1952-02-20,72,6ème Vice-président du conseil départemental,74
10,1004,Bar-Sur-Seine,MASSIN,Arlette,F,1955-03-03,74,,71
10,1005,Brienne-Le-Château,GUILLEMINOT,Angélique,F,1969-10-26,37,,56
10,1005,Brienne-Le-Château,JACQUINET,Olivier,M,1961-03-01,74,,65
10,1006,Creney-Près-Troyes,HOMEHR,Claude,F,1957-10-15,74,9ème Vice-président du conseil départemental,68
10,1007,Nogent-Sur-Seine,BOMBERGER-RIVOT,Estelle,F,1975-05-29,34,,51
10,1007,Nogent-Sur-Seine,MATHIAS,Jean-Yves,M,1960-05-11,77,,66
10,1008,Les Riceys,HUPFER,Jean-Michel,M,1953-05-14,72,,73
10,1008,Les Riceys,PATROIS,Christine,F,1967-04-17,33,,59
10,1009,Romilly-Sur-Seine,BONNEFOI,Jérôme,M,1970-03-20,21,2ème Vice-président du conseil départemental,56
10,1009,Romilly-Sur-Seine,MIGNOT,Agnès,F,1961-09-25,12,,64
10,1010,Saint-André-Les-Vergers,BALLAND,Alain,M,1946-08-19,74,4ème Vice-président du conseil départemental,79
